train_loss,val_loss,train_acc,val_acc,lr
1.1824905432259412,1.1723304375624046,0.5439658241367035,0.4672364672364672,0.0001
0.9484553306117182,1.0024740580479983,0.6753292986828052,0.6324786324786325,9.891830623632339e-05
0.8547421469727459,0.998278195701773,0.7011391954432182,0.5584045584045584,9.572050015330874e-05
0.8053011615406198,0.9160616948054388,0.7093271626913492,0.6381766381766382,9.05463412215599e-05
0.7661738366832849,0.8785259283845581,0.724813100747597,0.6495726495726496,8.362196501476348e-05
0.5394670847589836,0.3715136852646061,0.802064791740833,0.8774928774928775,1e-05
0.3887303185026898,0.23219540346403236,0.8588465646137415,0.9188034188034188,9.728616793536588e-06
0.2826388957567086,0.16113521260052835,0.8953364186543253,0.9401709401709402,8.9471999940354e-06
0.23830839974594184,0.12303820449827063,0.9159843360626557,0.9601139601139601,7.75e-06
0.20078120538988076,0.11088169489501633,0.9321822712709149,0.9672364672364673,6.281416799501188e-06
0.18382744725771055,0.09816999227721297,0.9353862584549661,0.9700854700854701,4.718583200498814e-06
0.16291959347331353,0.0775141554295571,0.9428622285510858,0.9772079772079773,3.250000000000002e-06
0.13403861151378896,0.07990599454624679,0.9565681737273051,0.9729344729344729,2.0528000059646e-06
0.13791856482617051,0.07558412166137217,0.9562121751512994,0.9757834757834758,1.2713832064634127e-06
0.1536027185294622,0.065349605791483,0.9483802064791741,0.9786324786324786,1e-06
