Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,0.9817073170731707,0.9938271604938271,0.9877300613496932,0.9938271604938271,162
healthy,0.99,0.99,0.99,0.99,200
meningioma,0.9876543209876543,0.9696969696969697,0.9785932721712538,0.9696969696969697,165
pituitary,0.9830508474576272,0.9886363636363636,0.9858356940509915,0.9886363636363636,176
