Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,0.9817073170731707,0.9938271604938271,0.9877300613496932,0.9938271604938271,162
healthy,1.0,1.0,1.0,1.0,200
meningioma,0.9878048780487805,0.9818181818181818,0.9848024316109423,0.9818181818181818,165
pituitary,0.9942857142857143,0.9886363636363636,0.9914529914529915,0.9886363636363636,176
