Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,0.9877300613496932,0.9938271604938271,0.9907692307692307,0.9938271604938271,162
healthy,0.9900990099009901,1.0,0.9950248756218906,1.0,200
meningioma,0.9878787878787879,0.9878787878787879,0.9878787878787879,0.9878787878787879,165
pituitary,0.9942196531791907,0.9772727272727273,0.9856733524355301,0.9772727272727273,176
