Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,0.9877300613496932,0.9938271604938271,0.9907692307692307,0.9938271604938271,162
healthy,0.9949748743718593,0.99,0.9924812030075187,0.99,200
meningioma,0.9820359281437125,0.9939393939393939,0.9879518072289156,0.9939393939393939,165
pituitary,0.9942528735632183,0.9829545454545454,0.9885714285714285,0.9829545454545454,176
