Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,0.9937888198757764,0.9876543209876543,0.9907120743034056,0.9876543209876543,162
healthy,0.995,0.995,0.995,0.995,200
meningioma,0.9761904761904762,0.9939393939393939,0.984984984984985,0.9939393939393939,165
pituitary,0.9942528735632183,0.9829545454545454,0.9885714285714285,0.9829545454545454,176
