train_loss,val_loss,train_acc,val_acc,lr
0.8219570075969078,0.826299511893862,0.6881452474190103,0.6638176638176638,0.001
0.6939749284098691,0.6304661843002352,0.7408330366678534,0.792022792022792,0.000989084726566536
0.6734879303653285,0.6362866344105484,0.7474190103239587,0.7763532763532763,0.0009568159560924792
0.6713019561177686,0.6344125357024011,0.7483090067639729,0.7749287749287749,0.0009046039886902865
0.6453688800037862,0.6040998982568072,0.7556069775720897,0.7877492877492878,0.0008347307378762499
0.35177208926235604,0.13033138332570746,0.8714845140619437,0.9572649572649573,0.0001
0.17856097157435188,0.05838717118774088,0.9394802420790317,0.98005698005698,9.701478472890247e-05
0.09287813115671782,0.11916762585686208,0.9681381274474902,0.9601139601139601,8.84191999343894e-05
0.07118993489424495,0.03483975695705166,0.9750800996796013,0.9914529914529915,7.525e-05
0.0406987676750377,0.034856383038783065,0.987006051975792,0.9914529914529915,5.909558479451306e-05
0.02778290858861394,0.0277684906783008,0.9903880384478462,0.9914529914529915,4.190441520548695e-05
0.018392394417858636,0.020481393063371725,0.9944820220719117,0.9943019943019943,2.5750000000000016e-05
0.009243746929780429,0.00872904639821153,0.9973300106799573,0.9985754985754985,1.2580800065610596e-05
0.007023841940048475,0.01118827830309495,0.997686009255963,0.9957264957264957,3.985215271097539e-06
0.007918074223586234,0.006324802856914315,0.997686009255963,0.9971509971509972,1e-06
