Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,1.0,0.9814814814814815,0.9906542056074766,0.9814814814814815,162
healthy,0.9950248756218906,1.0,0.9975062344139651,1.0,200
meningioma,0.9879518072289156,0.9939393939393939,0.9909365558912386,0.9939393939393939,165
pituitary,0.9943502824858758,1.0,0.9971671388101983,1.0,176
