train_loss,val_loss,train_acc,val_acc,lr
0.8725611857563289,0.8275279615000103,0.6820932716269135,0.6780626780626781,0.001
0.6482607956223744,0.6976535276130393,0.7595229619081524,0.7336182336182336,0.000989084726566536
0.6137556567570628,0.6239513962017504,0.7714489142043431,0.7720797720797721,0.0009568159560924792
0.5720407783072714,0.6195817258622911,0.7953008187967248,0.7749287749287749,0.0009046039886902865
0.5813694323518175,0.578429111558148,0.7780348878604486,0.7934472934472935,0.0008347307378762499
0.3207458684923132,0.1377756978117163,0.8835884656461375,0.9501424501424501,0.0001
0.14590534588786877,0.0753623292671299,0.9467782128871485,0.9729344729344729,9.701478472890247e-05
0.07680970428119609,0.03737038823953721,0.9745461018155928,0.9886039886039886,8.84191999343894e-05
0.05475759287966543,0.03764916822298342,0.9816660733357067,0.9886039886039886,7.525e-05
0.033032580114696834,0.01146305018045576,0.9884300462798149,0.9943019943019943,5.909558479451306e-05
0.018496581483546125,0.02001379903517345,0.9941260234959061,0.9928774928774928,4.190441520548695e-05
0.018132543020980184,0.013137628380050007,0.9944820220719117,0.9928774928774928,2.5750000000000016e-05
0.017185304967050622,0.011002742921856585,0.9939480242079032,0.9943019943019943,1.2580800065610596e-05
0.012928728176358439,0.01132785881792548,0.9953720185119259,0.9957264957264957,3.985215271097539e-06
0.014396717598984709,0.01207949604177078,0.9951940192239231,0.9943019943019943,1e-06
