Class,Precision,Recall,F1-Score,Accuracy,Support
glioma,0.9938271604938271,0.9938271604938271,0.9938271604938271,0.9938271604938271,162
healthy,1.0,1.0,1.0,1.0,200
meningioma,0.9821428571428571,1.0,0.990990990990991,1.0,165
pituitary,1.0,0.9829545454545454,0.9914040114613181,0.9829545454545454,176
