train_loss,val_loss,train_acc,val_acc,lr
0.8217481958267738,0.8258860625772395,0.6883232467070132,0.6623931623931624,0.001
0.6937393415818736,0.6290359206688709,0.7408330366678534,0.7934472934472935,0.000989084726566536
0.6732618594326638,0.6348830953962104,0.7477750088999644,0.7763532763532763,0.0009568159560924792
0.6712233827563103,0.6324651750743898,0.7481310074759701,0.7763532763532763,0.0009046039886902865
0.6452713139161558,0.6019664544750143,0.7554289782840868,0.7891737891737892,0.0008347307378762499
0.3673092730936152,0.15899618281854733,0.8711285154859381,0.9401709401709402,0.0001
0.1793944270542918,0.07189238592839675,0.9417942328230687,0.9743589743589743,9.701478472890247e-05
0.10085657726711039,0.06945619088500934,0.9663581345674618,0.9757834757834758,8.84191999343894e-05
0.06571362220300755,0.025034624247742623,0.9773940904236383,0.9928774928774928,7.525e-05
0.0356897636191277,0.014714461129848583,0.9864720541117835,0.9957264957264957,5.909558479451306e-05
0.030454181342092764,0.024294686657537343,0.9893200427198291,0.9914529914529915,4.190441520548695e-05
0.018909582435354635,0.010068332399262398,0.9928800284798861,0.9957264957264957,2.5750000000000016e-05
0.010117013721838515,0.01136316826796781,0.996440014239943,0.9957264957264957,1.2580800065610596e-05
0.007503711827014758,0.008134009770736368,0.9973300106799573,0.9971509971509972,3.985215271097539e-06
0.008199773311977094,0.003621450897317552,0.9978640085439658,1.0,1e-06
